axios	1.14.1	CRITICAL	Malicious postinstall script - RAT dropping credentials/SSH keys/cloud tokens	https://github.com/axios/axios/issues/10604
axios	0.30.4	CRITICAL	Malicious postinstall script - RAT dropping credentials/SSH keys/cloud tokens	https://github.com/axios/axios/issues/10604
event-stream	3.3.6	CRITICAL	flatmap-stream dependency injected cryptocurrency wallet stealer (2018)	https://blog.npmjs.org/post/180565383195/details-about-the-event-stream-incident
flatmap-stream	0.1.1	CRITICAL	Malicious dependency targeting copay bitcoin wallet (2018)	https://blog.npmjs.org/post/180565383195/details-about-the-event-stream-incident
ua-parser-js	0.7.29	CRITICAL	Hijacked - cryptominer and credential stealer (Oct 2021)	https://github.com/nicedoc/ua-parser-js-compromised
ua-parser-js	0.8.0	CRITICAL	Hijacked - cryptominer and credential stealer (Oct 2021)	https://github.com/nicedoc/ua-parser-js-compromised
ua-parser-js	1.0.0	CRITICAL	Hijacked - cryptominer and credential stealer (Oct 2021)	https://github.com/nicedoc/ua-parser-js-compromised
coa	2.0.3	HIGH	Hijacked - malicious postinstall (Nov 2021)	https://github.com/veged/coa/issues/99
coa	2.0.4	HIGH	Hijacked - malicious postinstall (Nov 2021)	https://github.com/veged/coa/issues/99
coa	2.1.1	HIGH	Hijacked - malicious postinstall (Nov 2021)	https://github.com/veged/coa/issues/99
coa	2.1.3	HIGH	Hijacked - malicious postinstall (Nov 2021)	https://github.com/veged/coa/issues/99
coa	3.0.1	HIGH	Hijacked - malicious postinstall (Nov 2021)	https://github.com/veged/coa/issues/99
coa	3.1.3	HIGH	Hijacked - malicious postinstall (Nov 2021)	https://github.com/veged/coa/issues/99
rc	1.2.9	HIGH	Hijacked alongside coa (Nov 2021)	https://github.com/dominictarr/rc/issues/131
rc	1.3.9	HIGH	Hijacked alongside coa (Nov 2021)	https://github.com/dominictarr/rc/issues/131
rc	2.3.9	HIGH	Hijacked alongside coa (Nov 2021)	https://github.com/dominictarr/rc/issues/131
colors	1.4.1	HIGH	Maintainer sabotage - infinite loop (Jan 2022)	https://www.bleepingcomputer.com/news/security/dev-corrupts-npm-libs-colors-and-faker-breaking-thousands-of-apps/
colors	1.4.2	HIGH	Maintainer sabotage - infinite loop (Jan 2022)	https://www.bleepingcomputer.com/news/security/dev-corrupts-npm-libs-colors-and-faker-breaking-thousands-of-apps/
faker	6.6.6	HIGH	Maintainer sabotage - LIBERTY output (Jan 2022)	https://www.bleepingcomputer.com/news/security/dev-corrupts-npm-libs-colors-and-faker-breaking-thousands-of-apps/
node-ipc	10.1.1	HIGH	Protestware - file overwrite on Russian/Belarusian IPs (Mar 2022)	https://snyk.io/blog/peacenotwar-malicious-npm-node-ipc-package-vulnerability/
node-ipc	10.1.2	HIGH	Protestware - file overwrite on Russian/Belarusian IPs (Mar 2022)	https://snyk.io/blog/peacenotwar-malicious-npm-node-ipc-package-vulnerability/
node-ipc	10.1.3	HIGH	Protestware - creates peacenotwar file (Mar 2022)	https://snyk.io/blog/peacenotwar-malicious-npm-node-ipc-package-vulnerability/
